ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,equityOnTotalAsset,equityOnLiability,epsChange,bookValuePerShareChange
BRC,3,2013,,,0.102,0.067,1111,10927.0,0.595,1.5,-0.183,0.016
BRC,2,2013,,,0.128,0.086,1359,10754.0,0.643,1.8,-0.039,-0.064
BRC,1,2013,,,0.13,0.089,1414,11491.0,0.705,2.4,0.015,0.022
BTW,4,2022,6.2,1.0,0.169,0.115,4191,26126.0,0.638,1.8,0.206,0.033
BTW,3,2022,9.6,1.3,0.142,0.099,3474,25303.0,0.665,2.0,0.416,0.076
BTW,2,2022,12.4,1.3,0.105,0.074,2453,23516.0,0.678,2.1,0.053,-0.029
BTW,1,2022,12.7,1.2,0.097,0.074,2329,24211.0,0.759,3.1,-0.158,0.037
BTW,4,2021,12.2,1.4,0.121,0.089,2766,23356.0,0.737,2.8,-0.268,-0.018
BTW,3,2021,8.4,1.3,0.167,0.121,3778,23776.0,0.737,2.8,-0.015,0.033
BTW,2,2021,9.6,1.6,0.176,0.123,3834,23010.0,0.729,2.7,0.305,-0.033
BTW,1,2021,10.1,1.2,0.128,0.096,2937,23787.0,0.761,3.2,-0.233,0.059
BTW,4,2020,6.9,1.2,0.181,0.128,3831,22453.0,0.737,2.8,0.237,0.048
BTW,3,2020,8.4,1.2,0.15,0.104,3097,21416.0,0.711,2.5,-0.21,0.04
BTW,2,2020,6.4,1.2,0.201,0.13,3920,20594.0,0.672,2.1,-0.159,-0.068
BTW,1,2020,9.4,2.0,0.227,0.16,4661,22092.0,0.732,2.7,0.321,0.108
BTW,4,2019,7.6,1.3,0.186,0.123,3528,19939.0,0.674,2.1,-0.225,0.008
BTW,3,2019,5.6,1.3,0.253,0.167,4551,19790.0,0.669,2.0,0.298,0.073
BTW,2,2019,5.3,1.0,0.206,0.129,3504,18435.0,0.624,1.7,0.261,-0.027
BTW,1,2019,6.3,0.9,0.157,0.109,2779,18941.0,0.673,2.1,0.153,0.058
BVS,4,2022,10.4,0.7,0.066,0.03,1987,30629.0,0.569,1.3,-0.28,0.003
BVS,3,2022,6.5,0.6,0.093,0.041,2759,30544.0,0.503,1.0,0.027,0.016
BVS,2,2022,6.4,0.6,0.092,0.042,2686,30071.0,0.475,0.9,-0.274,-0.012
BVS,1,2022,9.5,1.2,0.129,0.056,3699,30431.0,0.369,0.6,-0.053,0.025
BVS,4,2021,9.8,1.3,0.14,0.062,3908,29690.0,0.375,0.6,0.211,0.021
BVS,3,2021,9.7,1.1,0.117,0.06,3226,29066.0,0.396,0.7,-0.002,0.026
BVS,2,2021,9.1,1.0,0.12,0.066,3231,28339.0,0.43,0.8,0.064,0.053
BVS,1,2021,7.2,0.8,0.118,0.075,3036,26908.0,0.54,1.2,0.651,0.036
BVS,4,2020,9.7,0.7,0.072,0.046,1838,25969.0,0.549,1.2,0.087,-0.002
