TradingDate,Open,High,Low,Close,Volume,percent_change
1/12/2016,4553,4553,4553,4553,1000,-0.050073023
1/11/2016,4473,4896,4488,4793,2500,0
1/8/2016,4873,5261,4760,4793,4800,-0.032303654
1/7/2016,4953,4953,4953,4953,100,0.033382015
1/6/2016,4633,5486,4726,4793,14300,-0.016416992
1/5/2016,4793,5302,4812,4873,10100,-0.046752739
1/4/2016,5352,5614,5028,5112,13600,-0.030349014
12/31/2015,4553,6137,5207,5272,34700,0.099937409
12/30/2015,4553,5008,4605,4793,105500,0
12/29/2015,4793,4865,4786,4793,127507,0
12/28/2015,4553,4879,4486,4793,4100,-0.016416992
12/25/2015,5032,5116,4629,4873,101500,0.051802288
12/24/2015,4793,4710,4268,4633,102600,-0.033382015
12/23/2015,4793,4793,4793,4793,0,0
12/22/2015,5352,4793,4292,4793,1200,-0.09085736
12/21/2015,5272,5272,5272,5272,100,0.064405411
12/18/2015,4953,4953,4953,4953,800,0
12/17/2015,5352,4953,4583,4953,200,-0.060508346
12/16/2015,4314,5799,4745,5272,700,0.099937409
12/15/2015,5352,5010,4487,4793,4400,-0.076848998
12/14/2015,5192,5192,5192,5192,200,0
12/11/2015,5192,5192,5192,5192,2000,-0.015174507
12/10/2015,5112,5361,5198,5272,10200,0
12/9/2015,5112,5353,5191,5272,700,0
12/8/2015,5112,5353,5191,5272,6000,-0.014947683
12/7/2015,5352,5352,5352,5352,0,0
12/4/2015,5272,5407,5326,5352,32500,0.015174507
12/3/2015,5272,5272,5272,5272,1100,0
12/2/2015,5192,5353,5272,5272,1100,0
12/1/2015,5032,5395,5149,5272,2900,0
11/30/2015,5272,5272,5272,5272,200,-0.014947683
11/27/2015,5352,5376,5216,5352,110200,0
11/26/2015,5352,5444,5204,5352,106300,0
11/25/2015,5272,5433,5271,5352,114200,-0.014727541
11/24/2015,5272,5516,5273,5432,108500,0
11/23/2015,5192,5596,5349,5432,71600,0
11/20/2015,5432,5432,5432,5432,0,0
11/19/2015,5432,5432,5432,5432,0,0
11/18/2015,5352,5506,5425,5432,1100,0.014947683
11/17/2015,5192,5433,5271,5352,63200,0.015174507
11/16/2015,5192,5509,5180,5272,6700,-0.014947683
11/13/2015,5192,5517,5352,5352,1100,-0.014727541
11/12/2015,5192,5514,5270,5432,101900,0
11/11/2015,5192,5667,5417,5432,11100,0
11/10/2015,5192,5529,5285,5432,15500,0
11/9/2015,5432,5432,5432,5432,0,0
11/6/2015,5432,5432,5432,5432,2500,0
11/5/2015,5192,5667,5417,5432,11600,0
11/4/2015,5432,5432,5432,5432,4500,0.030349014
11/3/2015,5352,5434,5272,5272,103700,0
11/2/2015,5272,5272,5272,5272,1000,-0.014947683
10/30/2015,5272,5587,5263,5352,103500,0.015174507
10/29/2015,5192,5352,5192,5272,102600,-0.014947683
10/28/2015,5192,5436,5192,5352,100800,0
10/27/2015,5352,5435,5191,5352,98200,0.015174507
10/26/2015,5352,5355,5115,5272,101700,0.01540832
10/23/2015,5272,5272,5114,5192,103500,-0.029895366
10/22/2015,5432,5517,5273,5352,112900,0
10/21/2015,5432,5660,5181,5352,117500,0.015174507
10/20/2015,5192,5420,5258,5272,2300,-0.014947683
10/19/2015,5272,5433,5271,5352,100600,0
10/16/2015,5272,5434,5272,5352,103600,-0.014727541
10/15/2015,5352,5524,5199,5432,123200,0
10/14/2015,5112,5669,5253,5432,28900,0.046224961
10/13/2015,5112,5192,5035,5192,101200,0
10/12/2015,5432,5455,5134,5192,6700,0
10/9/2015,5192,5192,5192,5192,700,-0.015174507
10/8/2015,5352,5272,5193,5272,100500,-0.014947683
10/7/2015,5352,5352,5352,5352,5600,-0.014727541
10/6/2015,5192,5566,5321,5432,8200,0
10/5/2015,5432,5432,5432,5432,98100,0
10/2/2015,5192,5680,5429,5432,3900,0.014947683
10/1/2015,5192,5517,5352,5352,6700,0
9/30/2015,5192,5433,5271,5352,108400,-0.014727541
