TradingDate,Open,High,Low,Close,Volume,percent_change
8/26/2021,23832,23874,23332,23416,12762500,-0.017455522
8/25/2021,23499,23832,23207,23832,18341200,0.001723341
8/24/2021,23832,23957,23416,23791,13980800,-0.001720376
8/23/2021,24582,24791,23791,23832,21997900,-0.043506181
8/20/2021,25832,25832,24541,24916,31892200,-0.038586202
8/19/2021,25666,25916,25249,25916,21080600,0
8/18/2021,25832,26124,25832,25916,12459700,-0.00319243
8/17/2021,26207,26499,25832,25999,18478900,0.00646485
8/16/2021,24666,25999,24582,25832,31956200,0.047271548
8/13/2021,24582,24749,24249,24666,11259600,0.003417134
8/12/2021,24832,24999,24582,24582,9741900,-0.006747747
8/11/2021,24749,25166,24582,24749,19533000,0.001699923
8/10/2021,25041,25166,24582,24707,13799700,-0.008388184
8/9/2021,24416,24916,24249,24916,12853800,0.008459141
8/6/2021,24999,25082,24666,24707,13684700,-0.011680467
8/5/2021,24666,24999,24499,24999,16668600,0.010101418
8/4/2021,24582,24874,24541,24749,17409900,0.013638598
8/3/2021,24082,24499,23999,24416,19320400,0.017375724
8/2/2021,24082,24249,23832,23999,12636400,-0.003446558
7/30/2021,23749,24332,23666,24082,18968900,0.01757796
7/29/2021,23249,23666,23166,23666,15121000,0.029001261
7/28/2021,22874,23207,22791,22999,6161800,0.007314296
7/27/2021,22832,23124,22749,22832,11596100,0.007323745
7/26/2021,22749,23041,22332,22666,15999300,-0.019806262
7/23/2021,23416,23666,23124,23124,11847700,-0.021164917
7/22/2021,23332,23749,22916,23624,10204100,0.012515001
7/21/2021,23416,23832,23249,23332,12249700,0.003570046
7/20/2021,23082,23249,22082,23249,15529300,0.02762553
7/19/2021,23332,23916,22582,22624,22151000,-0.067013073
7/16/2021,24582,24666,24124,24249,11304900,-0.006839777
7/15/2021,23832,24541,23749,24416,16136300,0.015598353
7/14/2021,24832,24874,23582,24041,19970400,-0.031854059
7/13/2021,25082,25499,24416,24832,12555900,0
7/12/2021,26332,26499,24082,24832,34531800,-0.038674461
7/9/2021,25707,26294,25430,25831,38065300,-0.005926496
7/8/2021,25985,26356,25677,25985,20529400,0
7/7/2021,25306,25985,24380,25985,31637800,0.049856571
7/6/2021,26726,26818,24751,24751,22451700,-0.069581234
7/5/2021,26849,26880,26078,26602,26337400,-0.008054292
7/2/2021,27034,27034,26757,26818,17761000,0
7/1/2021,26788,26973,26386,26818,24500700,0.002279777
6/30/2021,26849,27436,26757,26757,25995400,-0.002274592
6/29/2021,26664,27034,26232,26818,18304800,0.00811969
6/28/2021,26294,26726,26232,26602,18609500,0.023744468
6/25/2021,25923,26047,25491,25985,18753300,0.002391698
6/24/2021,26201,26386,25738,25923,22472700,0.002358673
6/23/2021,26078,26201,25615,25862,23680200,-0.002353123
6/22/2021,25306,26201,25245,25923,35453700,0.033200478
6/21/2021,24936,25275,24751,25090,18818600,0.002477226
6/18/2021,25306,25306,24967,25028,26023700,0.016282941
6/17/2021,23455,24689,23393,24627,25763900,0.030979194
6/16/2021,24226,24411,23856,23887,20702200,-0.015253329
6/15/2021,24257,24658,23856,24257,24890500,0
6/14/2021,24380,24627,24010,24257,24587000,-0.002549447
6/11/2021,23578,24658,23300,24319,24998200,0.039584491
6/10/2021,23763,24041,23269,23393,15556800,-0.016852988
6/9/2021,22899,23948,22683,23794,30626600,0.033488251
6/8/2021,24380,24658,22899,23023,29808700,-0.061626248
6/7/2021,25615,25615,24072,24535,30845500,-0.043320596
6/4/2021,25430,26356,25368,25646,32896100,0.009724792
6/3/2021,24689,25399,24596,25399,29087000,0.068846526
6/2/2021,23393,23887,23208,23763,23682500,0.007846297
6/1/2021,23825,23979,23516,23578,16331400,0.005244084
5/31/2021,23455,23640,22837,23455,30395700,0.007993468
5/28/2021,22590,23269,22344,23269,26378900,0.032846553
5/27/2021,23146,23300,22251,22529,28188800,-0.026656874
5/26/2021,22683,23146,22590,23146,33671000,0.047472508
5/25/2021,21479,22097,21449,22097,22789800,0.030211199
5/24/2021,21479,21603,21233,21449,20486500,0.002898957
5/21/2021,21233,21757,21140,21387,19882300,0.004367427
5/20/2021,21418,21449,21140,21294,17314900,0
5/19/2021,20800,21294,20615,21294,29370700,0.036002725
5/18/2021,20276,20677,20122,20554,23037800,0.012163293
5/17/2021,20615,20677,20245,20307,19181800,-0.002994894
5/14/2021,20554,20615,20276,20368,21651900,0.001475071
5/13/2021,20245,20862,20245,20338,26896800,-0.007515128
5/12/2021,20091,20492,20029,20492,21106000,0.015309914
5/11/2021,20492,20615,20183,20183,20385100,-0.015079055
5/10/2021,19504,20646,19473,20492,36389900,0.050656276
5/7/2021,19319,19566,19257,19504,24764800,0
5/6/2021,19566,19813,19350,19504,18915500,-0.003168762
5/5/2021,19443,19998,19443,19566,25875400,0.014413107
5/4/2021,18270,19350,18270,19288,24397100,0.029626862
4/29/2021,18825,19103,18733,18733,18937600,0.003320658
4/28/2021,18270,19011,18270,18671,17389600,0.02194855
4/27/2021,18301,18486,18023,18270,10054300,0
4/26/2021,18702,18702,18208,18270,14253600,-0.023099134
4/23/2021,18023,18702,17961,18702,16710100,0.037674083
4/22/2021,18764,18825,18023,18023,13234000,-0.042602922
4/20/2021,18949,19134,18578,18825,12942400,0
4/19/2021,18795,19011,18486,18825,13993700,0.009924893
4/16/2021,18764,18918,18393,18640,17708300,-0.013077778
4/15/2021,19288,19288,18856,18887,18900600,-0.020790129
4/14/2021,19011,19350,18887,19288,15096700,0.004792665
4/13/2021,19628,19628,19072,19196,22558600,-0.017353468
4/12/2021,19504,19597,19350,19535,16624100,0.009560724
4/9/2021,19196,19412,19041,19350,16904800,0.004829413
4/8/2021,19628,19628,19134,19257,22368700,-0.018901569
4/7/2021,19443,19782,19412,19628,23620400,0.01274444
4/6/2021,18949,19412,18825,19381,33236600,0.032882115
4/5/2021,18671,18764,18393,18764,26102300,0.027038862
4/2/2021,18270,18332,18054,18270,17890400,0.013704711
