TradingDate,Open,High,Low,Close,Volume,percent_change
12/18/2019,10000,10050,9900,9940,2113420,-0.010945274
12/17/2019,10100,10100,9990,10050,2119490,0
12/16/2019,10050,10100,10000,10050,1601000,0
12/13/2019,10150,10200,10050,10050,1361390,-0.004950495
12/12/2019,10050,10100,10000,10100,1650790,0.004975124
12/11/2019,10050,10100,9950,10050,1047810,0
12/10/2019,9900,10050,9900,10050,2040130,0.010050251
12/9/2019,10000,10050,9920,9950,1893020,-0.005
12/6/2019,10000,10100,9990,10000,1579960,-0.004975124
12/5/2019,10100,10150,9990,10050,958220,-0.004950495
12/4/2019,9800,10100,9800,10100,2851860,0.035897436
12/3/2019,10000,10050,9750,9750,3603780,-0.025
12/2/2019,10100,10150,10000,10000,3128820,-0.00990099
11/29/2019,10150,10200,10050,10100,2157840,0
11/28/2019,10100,10200,10050,10100,2397650,0
11/27/2019,10200,10250,10100,10100,2201930,-0.004926108
11/26/2019,10200,10250,10100,10150,3956940,0
11/25/2019,10300,10300,10100,10150,2010840,-0.009756098
11/22/2019,10300,10400,10100,10250,3604040,0.004901961
11/21/2019,10350,10450,10200,10200,4304070,-0.019230769
11/20/2019,10600,10600,10350,10400,4829400,-0.018867925
11/19/2019,10550,10650,10550,10600,2332900,0
11/18/2019,10750,10800,10600,10600,2213290,-0.009345794
11/15/2019,10800,10800,10650,10700,1610810,0
11/14/2019,10800,10850,10650,10700,2044260,-0.009259259
11/13/2019,10800,10900,10750,10800,2249060,0.004651163
11/12/2019,10850,10850,10750,10750,1447030,-0.00462963
11/11/2019,10850,10900,10750,10800,3088540,-0.004608295
11/8/2019,10900,11000,10850,10850,2863990,-0.004587156
11/7/2019,11000,11000,10850,10900,3848980,-0.009090909
11/6/2019,10950,11050,10900,11000,4062650,0.00456621
11/5/2019,10950,10950,10850,10950,4411700,0.004587156
11/4/2019,10900,11100,10850,10900,6499460,0
11/1/2019,10800,10950,10700,10900,3145580,0.009259259
10/31/2019,10800,10850,10650,10800,3127620,0.009345794
10/30/2019,10700,10800,10650,10700,2781010,0.004694836
10/29/2019,10800,10900,10650,10650,4553070,-0.01843318
10/28/2019,11000,11000,10750,10850,5437940,-0.004587156
10/25/2019,10950,11000,10850,10900,1939620,-0.00456621
10/24/2019,11000,11050,10900,10950,2084420,-0.004545455
10/23/2019,11000,11100,10950,11000,1855200,0
10/22/2019,10900,11100,10900,11000,3812730,0.00456621
10/21/2019,10850,10950,10700,10950,2982590,0.013888889
10/18/2019,10950,11050,10800,10800,3235350,-0.009174312
10/17/2019,11050,11050,10900,10900,3904920,-0.013574661
10/16/2019,11100,11200,11000,11050,2388980,0
10/15/2019,11100,11200,11000,11050,2781510,-0.004504505
10/14/2019,11100,11300,11100,11100,6856600,0.009090909
10/11/2019,10800,11250,10800,11000,8083600,0.018518519
10/10/2019,10900,10950,10800,10800,3374460,-0.009174312
10/9/2019,11000,11100,10850,10900,5653080,-0.009090909
10/8/2019,10600,11000,10550,11000,11682970,0.047619048
10/7/2019,10450,10600,10400,10500,2965990,0.009615385
10/4/2019,10500,10600,10400,10400,1576130,-0.00952381
10/3/2019,10350,10500,10300,10500,2364630,0.009615385
10/2/2019,10500,10600,10400,10400,3177060,-0.00952381
10/1/2019,10550,10600,10450,10500,3586610,-0.004739336
9/30/2019,10700,10750,10550,10550,3901750,-0.009389671
9/27/2019,10700,10750,10600,10650,4205060,-0.004672897
9/26/2019,10600,10700,10550,10700,3308980,0.009433962
9/25/2019,10450,10650,10450,10600,2613640,0.00952381
9/24/2019,10550,10650,10500,10500,2859850,-0.004739336
9/23/2019,10350,10750,10350,10550,10246570,0.019323671
9/20/2019,10600,10600,10350,10350,3594730,-0.018957346
9/19/2019,10200,10550,10150,10550,8105240,0.034313725
9/18/2019,10200,10300,10150,10200,3453760,0
9/17/2019,10250,10350,10150,10200,3517780,-0.014492754
9/16/2019,10350,10400,10250,10350,2484340,0
9/13/2019,10150,10350,10100,10350,4211290,0.019704433
9/12/2019,10100,10150,10050,10150,2176840,0.009950249
9/11/2019,10000,10100,10000,10050,1463100,0
9/10/2019,10150,10150,10000,10050,5125250,-0.004950495
9/9/2019,10250,10250,10100,10100,1396010,-0.004926108
9/6/2019,10200,10200,10100,10150,1276330,0
9/5/2019,10150,10300,10100,10150,2863620,0
9/4/2019,10200,10250,10050,10150,2860970,-0.004901961
9/3/2019,10400,10400,10200,10200,3237800,-0.019230769
