organCode,ticker,comGroupCode,icbCode,organTypeCode,comTypeCode,organName,organShortName,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,status,code,message,traceId
E1VFVN30,E1VFVN30,VNINDEX,8985,OTHER,QU,Quỹ ETF DCVFMVN30,Quỹ ETF DCVFMVN30,HOSE,Quỹ ETF DCVFMVN30,302,8985,Dịch vụ tài chính,Financial Services,2014,0,0,0.914,https://dragoncapital.com.vn,5,-0.008,-0.025,-0.023,437.8,437.8,QU,,,,
EBS,EBS,HNXIndex,5557,DN,CT,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Sách Giáo dục Hà Nội,HNX,Sách Giáo dục Hà Nội,256,5557,Truyền thông,Media,2004,88,812,0.083,http://www.sachgiaoduchanoi.vn,4,-0.119,0.028,0.067,10,10.2,CT,,,,
EC29,E29,UpcomIndex,2357,DN,CT,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,Đầu tư XD và Kỹ thuật 29,UPCOM,Đầu tư XD và Kỹ thuật 29,181,2357,Xây dựng và Vật liệu,Construction & Materials,2012,562,225,0,http://www.congty29.vn,3.5,0.221,0.2,-0.071,5,5,CT,,,,
ECI,ECI,HNXIndex,5557,DN,CT,Công ty Cổ phần Tập đoàn ECI,Bản đồ và tranh ảnh GD,HNX,Bản đồ và tranh ảnh GD,256,5557,Truyền thông,Media,2007,40,98,0.048,http://www.bandotranhanh.vn,3.9,-0.004,-0.025,0.25,1.8,1.9,CT,,,,
EFI,EFI,UpcomIndex,8633,DN,CT,Công ty Cổ phần Đầu tư Tài chính Giáo dục,Tài chính giáo dục,UPCOM,Tài chính giáo dục,336,8633,Bất động sản,Real Estate,2007,33,678,0,http://www.efi.vn,3.8,-0.004,0.034,-0.17,10.9,10.9,CT,,,,
EIB,EIB,VNINDEX,8355,DN,NH,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Eximbank,HOSE,Eximbank,289,8355,Ngân hàng,Banks,1992,6136,0,0.086,http://www.eximbank.com.vn,3.7,0.029,0.047,-0.124,1475.3,1481.4,NH,,,,
EID,EID,HNXIndex,5557,DN,CT,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Phát triển GD Hà Nội,HNX,Phát triển GD Hà Nội,256,5557,Truyền thông,Media,2007,135,1457,0.218,http://www.heid.vn,4.3,0.006,-0.025,0.101,15,15,CT,,,,
ELC,ELC,VNINDEX,9578,DN,CT,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,ELCOM,HOSE,ELCOM,314,9578,Công nghệ Thông tin,Technology,2003,223,208,0.039,http://www.elcom.com.vn,3.6,-0.001,0.047,0.023,58.8,58.8,CT,,,,
EMC,EMC,VNINDEX,2737,DN,CT,Công ty Cổ phần Cơ điện Thủ Đức,Cơ điện Thủ Đức,HOSE,Cơ điện Thủ Đức,187,2737,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1976,128,723,0.002,http://www.codientd.com,3.2,-0.024,-0.145,-0.432,15.3,15.3,CT,,,,
EMEC,EME,UpcomIndex,2737,DN,CT,Công ty Cổ phần Điện Cơ,Điện Cơ,UPCOM,Điện Cơ,187,2737,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1999,75,204,0.031,http://www.emec.vn,3.6,-0.004,-0.173,-0.327,3.8,3.8,CT,,,,
EMESCO,EMG,UpcomIndex,2737,DN,CT,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,Thiết bị phụ tùng cơ điện,UPCOM,Thiết bị phụ tùng cơ điện,187,2737,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2005,50,136,0,http://www.emesco.com.vn,3.5,-0.004,-0.025,1.66,3,3,CT,,,,
EMSP,EMS,UpcomIndex,2771,DN,CT,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần,Chuyển phát nhanh Bưu điện,UPCOM,Chuyển phát nhanh Bưu điện,190,2771,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2015,1861,879,0.021,http://www.ems.com.vn,3.9,0.172,-0.058,-0.236,21,21,CT,,,,
EPOCO,EPC,UpcomIndex,3537,DN,CT,Công ty Cổ phần Cà Phê Ea Pốk,Cà Phê Ea Pốk,UPCOM,Cà Phê Ea Pốk,216,3537,Thực phẩm và đồ uống,Food & Beverage,1993,634,0,0,http://www.eapokcafe.com,3.3,-0.004,-0.175,0.547,9.4,9.4,CT,,,,
ETFSSIAM,FUESSVFL,VNINDEX,8985,OTHER,QU,Quỹ ETF SSIAM VNFIN LEAD,Quỹ ETF SSIAM VNFIN LEAD,HOSE,Quỹ ETF SSIAM VNFIN LEAD,302,8985,Dịch vụ tài chính,Financial Services,2019,0,0,0.967,http://www.ssi.eom.vn/ssiam/san-pham-va-dich-vu-ssiam,5,0.002,0.006,0.094,237.3,237.3,QU,,,,
EVE,EVE,VNINDEX,3763,DN,CT,Công ty Cổ phần Everpia,Everpia,HOSE,Everpia,226,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2007,1360,52,0.612,http://www.everpia.vn,4,0.037,0.273,0.542,42,42,CT,,,,
EVGC,EVG,VNINDEX,2357,DN,CT,Công ty Cổ phần Tập đoàn Everland,Tập đoàn Everland,HOSE,Tập đoàn Everland,181,2357,Xây dựng và Vật liệu,Construction & Materials,2009,20,1398,0.007,http://www.everland.vn,3.6,0.378,0.8,-0.079,215.2,215.2,CT,,,,
EVNF,EVF,VNINDEX,8773,DN,NH,Công ty Tài chính Cổ phần Điện Lực,Tài chính Điện lực,HOSE,Tài chính Điện lực,298,8773,Dịch vụ tài chính,Financial Services,2008,487,58137,0.001,http://www.evnfc.vn,3.6,0.081,0.165,-0.003,351.1,351.1,NH,,,,
EVNI,EIC,UpcomIndex,2357,DN,CT,Công ty Cổ phần EVN Quốc Tế,EVN Quốc Tế,UPCOM,EVN Quốc Tế,181,2357,Xây dựng và Vật liệu,Construction & Materials,2008,30,1726,0,http://www.evni.vn,4.1,0.054,0.072,0.325,36.7,36.7,CT,,,,
EVNLC,LEC,VNINDEX,8633,DN,CT,Công ty Cổ phần Bất động sản Điện lực Miền Trung,BĐS Điện lực Miền Trung,HOSE,BĐS Điện lực Miền Trung,336,8633,Bất động sản,Real Estate,2007,123,26286,0,http://www.lec.com.vn,3.4,0.115,0.075,-0.3,26.1,26.1,CT,,,,
FAHASA,FHS,UpcomIndex,5557,DN,CT,Công ty Cổ phần Phát hành sách Thành phố Hồ Chí Minh - FAHASA,Phát hành sách TP HCM - FAHASA,UPCOM,Phát hành sách TP HCM - FAHASA,256,5557,Truyền thông,Media,1976,2200,525,0,http://www.fahasasg.com.vn,3.8,-0.061,0.047,0.478,12.8,12.8,CT,,,,
FAROS,ROS,UpcomIndex,2357,DN,CT,Công ty Cổ phần Xây dựng FLC FAROS,Xây dựng FLC FAROS,UPCOM,Xây dựng FLC FAROS,181,2357,Xây dựng và Vật liệu,Construction & Materials,2011,776,16963,0.019,http://www.flcfaros.vn/Default.aspx,3.6,,,,567.6,567.6,CT,,,,
FBA,FBA,UpcomIndex,3726,DN,CT,Công ty Cổ phần Tập đoàn Quốc tế FBA,Tập đoàn Quốc tế FBA,UPCOM,Tập đoàn Quốc tế FBA,221,3726,Hàng cá nhân & Gia dụng,Personal & Household Goods,2003,31,0,0.01,http://www.uslight.vn,3.7,-0.004,-0.025,0.164,3.4,3.4,CT,,,,
